"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Path Type","Link Path","Link Position"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/angel-solo-4-vynos-rulya/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/angel-solo-4-tutory/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/tutory-dlya-angel-solo-3m/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[7]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/angel-solo-4-ruchka-dlya-mamy/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/elektrodvigatel-s-trenazhernym-uzlom/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/pristavka-kvadro-dlya-angel-solo-3m/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/angel-solo-4-elektrodvigatel/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/trenajeri-reabilitasionnie/velotrenazher-angel-solo-4-dlya-vzroslykh/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/poduhki-ortopedi4eckie/","https://www.youtube.com/embed/cSkWo_dJnQk?feature=oembed","","","True","","","Protocol-Relative","//body/div[@id='content']/div/div/div[@class='col-md-9 col-sm-8']/div/div[@class='bxr-section-desc']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/i8GpPoF6iI0","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[16]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/vse-dlya-biotualeta/zhidkost-dlya-verkhnego-baka-biotualetov-akva-rinz-plyus-1-5-l-/","https://www.youtube.com/embed/i8GpPoF6iI0","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/biotualeti-/565P/","https://www.youtube.com/embed/i8GpPoF6iI0","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/biotualeti-/565E/","https://www.youtube.com/embed/i8GpPoF6iI0","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/i8GpPoF6iI0","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[15]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/Iy-vbaYDqV8","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[3]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/Iy-vbaYDqV8","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[2]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/invalidnie-kolycki-aktivnogo-tipa/kreslo-kolyaska-rychazhnaya-dkks-01/","https://www.youtube.com/embed/Iy-vbaYDqV8","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/Sv5X8E2R65s","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[7]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/Sv5X8E2R65s","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[6]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/trenajeri-reabilitasionnie/pedalnyy-trenazher-s-elektrodvigatelem-ly901-mb/","https://www.youtube.com/embed/Sv5X8E2R65s","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[15]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-md-9 col-sm-8']/div/div[@class='bxr-section-desc']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/kreslo-tualet-10583/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/tualet-stul-s-shirokim-sidenem-10589/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/kreslo-kolyaska-s-sanitarnym-ustroystvom-5019w24/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/kreslo-tualet-10581-sa/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/kreslo-tualet-wc-econom/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[1]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/krecla-tualeti/kreslo-katalka-s-sanitarnym-ustroystvom-5019w2p/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/-GjBklTi7hs","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[14]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/RWb-uyttOqw","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[11]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/kislorodnyj-koncentrator-armed/kislorodnyy-kontsentrator-armed-7f-5l-armed/","https://www.youtube.com/embed/RWb-uyttOqw","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video'][1]/iframe[1]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/RWb-uyttOqw","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[10]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/FoNQtSpTC7A","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[1]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nam-10-let-smotri-film-korotko-pro-nas/","https://www.youtube.com/embed/FoNQtSpTC7A","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[14]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/biotualeti-/qube-365/","https://www.youtube.com/embed/g-4nMWH94DI","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe[2]","Content"
